ESTUDANTE,QT_1_QUIMICA,QT_2_FISICA,QT_3_BIOLOGIA,QT_4_QUIMICA,QT_5_FISICA,QT_6_BIOLOGIA,QT_7_QUIMICA,QT_8_FISICA,QT_9_BIOLOGIA,QT_10_QUIMICA,QT_11_FISICA,QT_12_BIOLOGIA,QT_13_QUIMICA,QT_14_FISICA,QT_15_BIOLOGIA,QT_16_QUIMICA,QT_17_FISICA,QT_18_BIOLOGIA,QT_19_QUIMICA,QT_20_FISICA,QT_21_BIOLOGIA,QT_22_QUIMICA,QT_23_FISICA,QT_24_BIOLOGIA,QT_25_QUIMICA,QT_26_FISICA,QT_27_BIOLOGIA,QT_28_QUIMICA,QT_29_FISICA,QT_30_BIOLOGIA,QT_31_QUIMICA,QT_32_FISICA,QT_33_BIOLOGIA,QT_34_QUIMICA,QT_35_FISICA,QT_36_BIOLOGIA,QT_37_QUIMICA,QT_38_FISICA,QT_39_BIOLOGIA,QT_40_QUIMICA,QT_41_FISICA,QT_42_BIOLOGIA,QT_43_QUIMICA,QT_44_FISICA,QT_45_BIOLOGIA,QT_46_MATEMATICA,QT_47_MATEMATICA,QT_48_MATEMATICA,QT_49_MATEMATICA,QT_50_MATEMATICA,QT_51_MATEMATICA,QT_52_MATEMATICA,QT_53_MATEMATICA,QT_54_MATEMATICA,QT_55_MATEMATICA,QT_56_MATEMATICA,QT_57_MATEMATICA,QT_58_MATEMATICA,QT_59_MATEMATICA,QT_60_MATEMATICA,QT_61_MATEMATICA,QT_62_MATEMATICA,QT_63_MATEMATICA,QT_64_MATEMATICA,QT_65_MATEMATICA,QT_66_MATEMATICA,QT_67_MATEMATICA,QT_68_MATEMATICA,QT_69_MATEMATICA,QT_70_MATEMATICA,QT_71_MATEMATICA,QT_72_MATEMATICA,QT_73_MATEMATICA,QT_74_MATEMATICA,QT_75_MATEMATICA,QT_76_MATEMATICA,QT_77_MATEMATICA,QT_78_MATEMATICA,QT_79_MATEMATICA,QT_80_MATEMATICA,QT_81_MATEMATICA,QT_82_MATEMATICA,QT_83_MATEMATICA,QT_84_MATEMATICA,QT_85_MATEMATICA,QT_86_MATEMATICA,QT_87_MATEMATICA,QT_88_MATEMATICA,QT_89_MATEMATICA,QT_90_MATEMATICA,QTD_ACERTOS,ACERTOS_CN,ACERTOS_MT
Maria Luiza da Silva,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,12,8
João Pedro Santos,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25,17,8
Ana Clara Oliveira,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,28,15,13
Lucas Gabriel Costa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,8,6
Juliana Cristina Almeida,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,21,12,9
Marcos Vinicius Pereira,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0
Camila Fernandes Rodrigues,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,15,7,8
Rafaela Oliveira Lima,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,30,18,12
Diego da Silva Souza,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,22,9,13
Larissa Nunes Gomes,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,46,24,22
